FID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,CBSA_TITLE,MSA_TYPE,METRO_DIVISION,CSA_TITLE,MSA_COUNTY_TYPE_1,SHAPE_Length,SHAPE_Area
1,31,039,00835841,31039,Cuming,Cuming County,06,H1,G4020,,,,A,1477652222,10690952,+41.9158651,-096.7885168,,,,,,1.62442764325977,0.161523825030714
2,53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,,,,A,680956809,61588406,+46.2946377,-123.4244583,,,,,,1.44917696914358,0.0866922050052653
3,35,011,00933054,35011,De Baca,De Baca County,06,H1,G4020,,,,A,6016819484,29089486,+34.3592729,-104.3686961,,,,,,3.45513328516249,0.592344277304849
4,31,109,00835876,31109,Lancaster,Lancaster County,06,H1,G4020,339,30700,,A,2169287528,22832516,+40.7835474,-096.6886584,"Lincoln, NE",Metropolitan Statistical Area,,"Lincoln-Beatrice, NE",Central,1.9433805201371,0.233861981221031
5,31,129,00835886,31129,Nuckolls,Nuckolls County,06,H1,G4020,,,,A,1489645187,1718484,+40.1764918,-098.0468422,,,,,,1.60228218537207,0.157691041329552
6,72,085,01804523,72085,Las Piedras,Las Piedras Municipio,13,H1,G4020,490,41980,,A,87748364,32509,+18.1871483,-065.8711890,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Bayamón, PR",Central,0.489266986910563,0.00749663473322688
7,46,099,01265772,46099,Minnehaha,Minnehaha County,06,H1,G4020,,43620,,A,2089691730,18198496,+43.6674723,-096.7957261,"Sioux Falls, SD",Metropolitan Statistical Area,,,Central,2.05052500099735,0.235256025122875
8,48,327,01383949,48327,Menard,Menard County,06,H1,G4020,,,,A,2336237985,613559,+30.8852677,-099.8588613,,,,,,2.01735938133375,0.22044810100086
9,06,091,00277310,06091,Sierra,Sierra County,06,H1,G4020,,,,A,2468694587,23299110,+39.5769252,-120.5219926,,,,,,3.06418695843591,0.261249416497372
10,21,053,00516873,21053,Clinton,Clinton County,06,H1,G4020,,,,A,510875184,21153253,+36.7272577,-085.1360977,,,,,,1.14850592861732,0.053669864226032
